Moroccan,Moroccan Arabic
M,م‎
M,ـم‎
M,ـمـ‎
M,مـ‎
Mm,م‎
Mm,ـم‎
Mm,ـمـ‎
Mm,مـ‎
N,ن‎
N,ـن‎
N,ـنـ‎
N,نـ
Nn,ن‎
Nn,ـن‎
Nn,ـنـ‎
Nn,نـ
O,و‎
O,ـو‎
O,ـو‎
O,و‎
Oo,و‎
Oo,ـو‎
Oo,ـو‎
Oo,و‎
Ou,و‎
Ou,ـو‎
Ou,ـو‎
Ou,و‎
Ou,و‎
Ou,ـو‎
Ou,ـو‎
Ou,و‎
Q,ق‎
Q,ـق‎
Q,ـقـ‎
Q,قـ‎
Qq,ق‎
Qq,ـق‎
Qq,ـقـ‎
Qq,قـ‎
R,ر‎
R,ـر‎
R,ـر‎
R,ر‎
Rr,ر‎
Rr,ـر‎
Rr,ـر‎
Rr,ر‎
S,س‎
S,ـس‎
S,ـسـ‎
S,سـ‎
S,ص‎
S,ـص‎
S,ـصـ‎
S,صـ‎
Sh,ش‎
Sh,ـش‎
Sh,ـشـ‎
Sh,شـ‎
Sh,ش‎
Sh,ـش‎
Sh,ـشـ‎
Sh,شـ‎
Ss,س‎
Ss,ـس‎
Ss,ـسـ‎
Ss,سـ‎
Ss,ص‎
Ss,ـص‎
Ss,ـصـ‎
Ss,صـ‎
T,ت‎
T,ـت‎
T,ـتـ‎
T,تـ‎
T,ث‎
T,ـث‎
T,ـثـ‎
T,ثـ‎
T,ط‎
T,ـط‎
T,ـطـ‎
T,طـ‎
Tt,ت‎
Tt,ـت‎
Tt,ـتـ‎
Tt,تـ‎
Tt,ث‎
Tt,ـث‎
Tt,ـثـ‎
Tt,ثـ‎
Tt,ط‎
Tt,ـط‎
Tt,ـطـ‎
Tt,طـ‎
U,و‎
U,ـو‎
U,ـو‎
U,و‎
Uu,و‎
Uu,ـو‎
Uu,ـو‎
Uu,و‎
V,ڤ‎
V,ـڤ‎
V,ـڤـ‎
V,ڤـ
W,و‎
W,ـو‎
W,ـو‎
W,و‎
Ww,و‎
Ww,ـو‎
Ww,ـو‎
Ww,و‎
X,ـس‎كـ‎
X,ك‎ـســ
X,ـكــســ‎
X,ـسـ‎كـ‎
Xx,ـس‎كـ‎
Xx,ك‎ـســ
Xx,ـكــســ‎
Xx,ـسـ‎كـ‎
Y,ي‎
Y,ـي‎
Y,ـيـ‎
Y,ي
Yi,ي‎
Yi,ـي‎
Yi,ـيـ‎
Yi,ي
Yy,ي‎
Yy,ـي‎
Yy,ـيـ‎
Yy,ي
Z,ز‎
Z,ـز‎
Z,ـز‎
Z,ز‎
Zz,ز‎
Zz,ـز‎
Zz,ـز‎
Zz,ز‎
a,ا‎
a,ـا‎
a,ـا‎
a,ا‎
aa,ا‎
aa,ـا‎
aa,ـا‎
aa,ا‎
b,ب‎
b,ـب‎
b,ـبـ‎
b,بـ‎
bb,ب‎
bb,ـب‎
bb,ـبـ‎
bb,بـ‎
c,س‎
c,ـس‎
c,ـسـ‎
c,سـ‎
c,ك‎
c,ـك‎
c,ـكـ‎
c,كـ‎
cc,ك‎
cc,ـك‎
cc,ـكـ‎
cc,كـ‎
ch,ش‎
ch,ـش‎
ch,ـشـ‎
ch,شـ‎
ch,ش‎
ch,ـش‎
ch,ـشـ‎
ch,شـ‎
d,د‎
d,ـد‎
d,ـد‎
d,د‎
d,ذ‎
d,ـذ‎
d,ـذ‎
d,ذ‎
d,ض‎
d,ـض‎
d,ـضـ‎
d,ضـ‎
d,ظ‎
d,ـظ‎
d,ـظـ‎
d,ظـ‎
dd,د‎
dd,ـد‎
dd,ـد‎
dd,د‎
dd,ذ‎
dd,ـذ‎
dd,ـذ‎
dd,ذ‎
dd,ض‎
dd,ـض‎
dd,ـضـ‎
dd,ضـ‎
dd,ظ‎
dd,ـظ‎
dd,ـظـ‎
dd,ظـ‎
e,ُْ
e,ُْ
e,ُْ
e,ُْ
ee,ُْ
ee,ُْ
ee,ُْ
ee,ُْ
f,ف‎
f,ـف‎
f,ـفـ‎
f,فـ‎
ff,ف‎
ff,ـف‎
ff,ـفـ‎
ff,فـ‎
g,گ
g,گ
g,گ
g,گ
gg,گ
gg,گ
gg,گ
gg,گ
gh,غ‎
gh,ـغ‎
gh,ـغـ‎
gh,غـ
gh,غ‎
gh,ـغ‎
gh,ـغـ‎
gh,غـ
h,ه‎
h,ـه‎
h,ـهـ‎
h,هـ‎
hh,ه‎
hh,ـه‎
hh,ـهـ‎
hh,هـ‎
i,ي‎
i,ـي‎
i,ـيـ‎
i,ي
ii,ي‎
ii,ـي‎
ii,ـيـ‎
ii,ي
iy,ي‎
iy,ـي‎
iy,ـيـ‎
iy,ي
j,ج‎
j,ـج‎
j,ـجـ‎
j,جـ‎
jj,ج‎
jj,ـج‎
jj,ـجـ‎
jj,جـ‎
k,ك‎
k,ـك‎
k,ـكـ‎
k,كـ‎
kh,خ‎
kh,ـخ‎
kh,ـخـ‎
kh,خـ‎
kh,خ‎
kh,ـخ‎
kh,ـخـ‎
kh,خـ‎
kh,خ‎
kh,ـخ‎
kh,ـخـ‎
kh,خـ‎
kh,خ‎
kh,ـخ‎
kh,ـخـ‎
kh,خـ‎
kk,ك‎
kk,ـك‎
kk,ـكـ‎
kk,كـ‎
l,ل‎
l,ـل‎
l,ـلـ‎
l,لـ‎
la,لا
la,ـلا
la,ـلا
la,لا
ll,ل‎
ll,ـل‎
ll,ـلـ‎
ll,لـ‎
m,م‎
m,ـم‎
m,ـمـ‎
m,مـ‎
mm,م‎
mm,ـم‎
mm,ـمـ‎
mm,مـ‎
n,ن‎
n,ـن‎
n,ـنـ‎
n,نـ
nn,ن‎
nn,ـن‎
nn,ـنـ‎
nn,نـ
o,و‎
o,ـو‎
o,ـو‎
o,و‎
oo,و‎
oo,ـو‎
oo,ـو‎
oo,و‎
ou,و‎
ou,ـو‎
ou,ـو‎
ou,و‎
ou,و‎
ou,ـو‎
ou,ـو‎
ou,و‎
p,پ
p,ـپ‎
p,ـپـ‎
p,پـ
pp,پ
pp,ـپ‎
pp,ـپـ‎
pp,پـ
q,ق‎
q,ـق‎
q,ـقـ‎
q,قـ‎
qq,ق‎
qq,ـق‎
qq,ـقـ‎
qq,قـ‎
r,ر‎
r,ـر‎
r,ـر‎
r,ر‎
rr,ر‎
rr,ـر‎
rr,ـر‎
rr,ر‎
s,س‎
s,ـس‎
s,ـسـ‎
s,سـ‎
s,ص‎
s,ـص‎
s,ـصـ‎
s,صـ‎
sh,ش‎
sh,ـش‎
sh,ـشـ‎
sh,شـ‎
sh,ش‎
sh,ـش‎
sh,ـشـ‎
sh,شـ‎
ss,س‎
ss,ـس‎
ss,ـسـ‎
ss,سـ‎
ss,ص‎
ss,ـص‎
ss,ـصـ‎
ss,صـ‎
t,ت‎
t,ـت‎
t,ـتـ‎
t,تـ‎
t,ث‎
t,ـث‎
t,ـثـ‎
t,ثـ‎
t,ط‎
t,ـط‎
t,ـطـ‎
t,طـ‎
tt,ت‎
tt,ـت‎
tt,ـتـ‎
tt,تـ‎
tt,ث‎
tt,ـث‎
tt,ـثـ‎
tt,ثـ‎
tt,ط‎
tt,ـط‎
tt,ـطـ‎
tt,طـ‎
u,و‎
u,ـو‎
u,ـو‎
u,و‎
uu,و‎
uu,ـو‎
uu,ـو‎
uu,و‎
v,ڤ‎
v,ـڤ‎
v,ـڤـ‎
v,ڤـ
w,و‎
w,ـو‎
w,ـو‎
w,و‎
ww,و‎
ww,ـو‎
ww,ـو‎
ww,و‎
x,ـس‎كـ‎‎
x,ك‎ـســ
x,ـكــســ‎
x,ـسـ‎كـ‎
xx,ـس‎كـ‎‎
xx,ك‎ـســ
xx,ـكــســ‎
xx,ـسـ‎كـ‎
y,ي‎
y,ـي‎
y,ـيـ‎
y,ي
yi,ي‎
yi,ـي‎
yi,ـيـ‎
yi,ي
yy,ي‎
yy,ـي‎
yy,ـيـ‎
yy,ي
z,ز‎
z,ـز‎
z,ـز‎
z,ز‎
zz,ز‎
zz,ـز‎
zz,ـز‎
zz,ز‎
Â,َ‎
Â,َ‎
Â,َ‎
Â,َ‎
È,ي‎
È,ـي‎
È,ـيـ‎
È,ي
É,ي‎
É,ـي‎
É,ـيـ‎
É,ي
Ê,ُْ
Ê,ُْ
Ê,ُْ
Ê,ُْ
Î,ِ‎
Î,ِ‎
Î,ِ‎
Î,ِ‎
Ô,ُ
Ô,ُ
Ô,ُ
Ô,ُ
â,َ‎
â,َ‎
â,َ‎
â,َ‎
ç,س‎
ç,ـس‎
ç,ـسـ‎
ç,سـ‎
è,ي‎
è,ـي‎
è,ـيـ‎
è,ي
é,ي‎
é,ـي‎
é,ـيـ‎
é,ي
ê,ُْ
ê,ُْ
ê,ُْ
ê,ُْ
î,ِ‎
î,ِ‎
î,ِ‎
î,ِ‎
ô,ُ
ô,ُ
ô,ُ
ô,ُ
mofradat,مفردات
boldane,بلدان
oustouraliya,استراليا
kombodje,كامبودج
canada,كندا
sine,الصين
missre,مصر
naglize,نجليز
franssa,فرانسا
almaniya,المانيا
younane,يونان
lhind,لهند
andounissiya,اندونيسيا
taliane,ايطاليا
japoune,ليابان
mixik,لمكسيك
maghrib,لمغريب
pirou,بيرو
sbaniya,اسبانيا
taylande,طايلاند
mirikane,ميريكان
loghat,لوغات
3arbia,لعربية
siniya,صينية
nagliziya,نجليزية
fransawiya,فرنساويا
almania,المانيا
younaniya,يونانيا
ihoudiya,يهودية
hindiya,هندية
italiya,ايطالية
japoniya,جابونية
kordiya,كورية
latiniya,لاتينية
roussiya,روسية
spaniouliya,صبليونية
2ordia,الاردية
lyamate,ليامات
tnine,تنين
tlate,تلات
larb3a,لاربعا
5amis,لخميس
sabte,السبت
jam3a,الجمعة
7add,الحد
marra,مرة
sa3a,ساعة
d9i9a,دقيقة
taniya,تانية
sme7lia,سمحلي
besse7a,بصحة
beslama,بسلامة
bessa7,بصح
salam,سلام
wa7ed,واحد
jouj,جوج
tlata,تلاتة
reb3a,ربعة
5emsa,خمسة
setta,ستة
seb3a,سبعة
tmania,تمنية
tes3oud,تسعود
3achra,عشرة
iyeh,إييه
Lla,لا
3afak,عافاك
chokran,شكرا
Kanbghik,كنبغيك
Twe77eshtek,توحشتك
Bezzaf,بزاف
chwia,شوية
Wakha,واخا
Daba,دابا
W,و
Mashi,ماشي
Bghit,بغيت
Salit,ساليت
Zwin,زوين
5ayb,خايب
Mezyan,مزيان
hder,هضر
fhem,فهم
flous,فلوس
Hak,هاك
Safi,صافي
Mebrouk,مبروك
3ya,عيا
twalit,طواليط
7edash,حْضاش
Tenash,طْناش
Teletash,تْلطاش
Rebe3tash,رْبعطاش
Khemstash,خْمسطاش
Settash,سْطاش
Sebe3tash,سْبعطاش
Tementash,تْمنطاش
Teze3tash,تْزعطاش
7la9em,حلاقم
Le7ia,لحية
Fomm,فم
Dra3,دراع
Mo5,مخ
Sh3er,شعر
Shefr,شفر
9elb,قلب
3en9,عنق
Senna,سنة
Sbe3,صبع
Deher,ضهر
Ktef,كتف
Me3da,معدة
Kebda,كبدة
Jebha,جبهة
Rekba,ركبة
7el9a,حلق
7enk,حنك
lsan,لسان
yedd,يد
Ders,ضرس
Nif,نيف
3in,عين
Defer,ضفر
Wden,ودن
srdine,سردين
3dem,عضم
Jeld,جلد
Rjel,رجل
Sder,سدر
Riya,رية
7ajeb,حاجب
Ras,راس
3er9,عرق
Kersh,كرش
Wjeh,وجه
Zebda,زبدة
Meslouq,مسلوق
Qehwa,قهوة
Kofitir,كوفيتير
Kamoun,كامون
Ma,ما
Degig,دگيگ
Meqli,مقلي
Fermaj,فرماج
Fakia,فاكية
7elwa,حلوة
Zit,زيت
3asir,عصير
7lib,حليب
Khodra,خضرة
3des,عدس
3sel,عسل
Bida,بيضة
Khobz,خبز
7out,حوت
Ibzar,إبزار
Rouz,روز
Meshwi,مشوي
Shelada,شلاضة
Mel7a,ملحة
7rira,حريرة
Sekkar,سكر
Atay,أتاي
L7em,لحم
Khell,خل
Shkoun,شْكُون
Ashno,أََشْ شنو
3lash,عْلاش
Lash,لاش
Fin,فِينْ
Imta,فوقاش
Lemen,لمن
Kifash,كيفاشْ
Sh7al,شحال
Feddi,فضي
Bij,بيج
Byed,بيض
zre9,زرق
Shibi,شيبي
Grouna,كَرونة
Rmadi,رمادي
Sfer,صفر
9ehwi,قهوي
Mauve,موڤ
K7el,كحل
5ezzi,خزي
Dehbi,دهبي
Limouni,ليموني
Ponja,بونجة
7mer,حمر
7aris,حارس
5der,خضر
Banafsaji,بنفسجي
7amd,حامض
Nashit,نشيط
Sharf,شارف
9dim,قديم
Temma3,طماع
Mezian,مزيان
me7rou9,محروق
Meherres,مهرس
Meshehour,مشهور
Met2akked,متأكد
s5oun,سخون
Ghali,غالي
3ziz,عزيز
Mferkes,مفركس
Wade7,واضح
m3e9ed,مْعْقّدْ
Mori7,مريح
Me3rouf,معروف
9asir,قصير
Tayeb,طايب
Khatir,خطير
Fate7,فاتح
ghame9,غامق
Bnine,بنين
Mrewwen,مرون
Wa3er,واعر
3ali,عالي
Me7sad,محساد
7ar,حار
jerreb,جرب
mdye9,مضيق
Sahel,ساهل
Daser,ضاسر
3iyyan,عيان
Mesdoud,مسدود
7me9,حمق
Bared,بارد
Me3esseb,معصب
s5i,سخي
Drif,ضريف
Kbir,كبير
Ghelid,غليض
msetti,مسطي
Fer7an,فرحان
Mohim,مهم
Bari2,بريء
Dki,دكي
Meghyar,مغيار
Zwin,زوين
3erid,عريض
Khfif,خفيف
B3id,بعيد
Twil,طويل
t9il,تقيل
r9i9,رقيق
Mrid,مريض
9bi7,قبيح
M5ellet,مخلط
Khayeb,خايب
3esri,عصري
Rteb,رطب
Fazeg,فازڭ
Metwesset,متوسط
Zizoun,زيزون
Tabi3i,طبيعي
Darouri,ضروري
Ktir,كتير
3adi,عادي
Jedid,جديد
Mesheghoul,مشغول
Me7loul,محلول
Sghir,صغير
9lil,قليل
r5iss,رخيص
M2eddeb,مؤدب
She3bi,شعبي
9rib,قريب
n9i,نقي
5anez,خانز
7resh,حرش
3amer,عامر
Mo7taram,محترم
faye9,فايق
Mdewwer,مدوّر
Mossekh,موسّخ
Male7,مالح
Nashef,ناشف
7essas,حسّاس
Saket,ساكت
9ase7,قاصح
Wase3,واسع
mkelle5,مكلخ
7lo,حلو
M3ettel,معطل
Dafi,دافي
7achoumi,حشومي
beldi,بلدي
Madi,ماضي
m9elle9,مقلّق
Khawi,خاوي
t9lidi,تقليدي   
sbitar,صبيطار
pikala,بيكالة
tomobil,طوموبيل
pici,بيسي
boula,بولة
9ach 9ach ,قاشقاش
3attach ,عطاش
arré ,اري
Atansiou ,اطانسيو
Babor ,بابور
Baguitta ,باكيطا
Bakiya ,باكية
Balcone ,بالكون
Baliza,باليزا
Ballone ,بالون
Batroune ,باطرون
bermassioun ,برمسبون
Béfane,بيفان
Bikoup ,بيكوب
Barwita,برويطة 
Baspour ,باسبور
Bataillou ,باطايو
Batéma ,باطيمة
Banka ,بانكا
Barabole ,بارابول
Barbrise ,باربرز
Bariziana ,باريزيانا
Bart9iz ,بارطقيز
Birou ,بيرو
Biassa ,بياسا
fabor,فابور
Bichklita,بيشكليطة
Bidou ,بيدو
Bijama,بيجاما
Bijou,بيجو
Birra ,بيرا
Bit ,بيت
Bitagaz ,بيطاغاز
blacar,بلاكار
Blaka ,بلاكا 
Blassa ,بلاصة
Blindi ,بلاندي
Blombi ,بلومبي
Blousa ,بلوزا 
Blouza ,بلوزا 
bogoss,بوكوص
Boita ,بواطة
Bombiya ,بومبيا
bonokasio ,بونوكازيو
Botona ,بوطونة
Boudra ,بودرة
Boussa ,بوسة
Bouftik ,بوفتيك
Boulice ,بوليس
Boulissi ,بوليسي
Boune ,بون 
Brossi,بروصي
Braki ,براكي
Branchi ,برانشي
Bricoule ,بريكول
Brize ,بريز
Broblime ,بروبليم
Cabrane ,كابران
Cader ,كادر
Canappi ,كانابي
Carabila ,كارابيلا
carda ,كاردا
Carni ,كارني
Cartonna,كارطونة
caske,كاسك
Cassecrotte ,كاسكروط
Casserona ,كاسرونة
Cassetat ,كاسيطات
Certafika ,سرتافيكا
champpane ,شامبان
Chanteyyo ,شانتيو
charjane ,شارجان
Chauffage ,شوفاج
coiffoura,كوافورا
Cidi,سيدي
cima,سيما
Chifor ,شيفور
Chik ,شيك
Chiniwi ,شينوي
Chklat ,شكلاط
Chlada ,شلاضة
Chofo ,شوفو
Tirran ,تيران
Tit sui ,تيتسوي
Tkonnecta ,تكونكطا
Tobiss ,طوبيس
Tola ,طولة
Tolanti ,طولانطي
Tonobile ,طونوبيل
torizatio,طوريزاسيو
touni,توني
Traboblik ,طرابوبليك
trakss,طراكس
Trane ,تران
Zmagri ,زماكري
Zmagria ,زماكريا
Tricinti ,نريسينتي
Triciyanne ,تريسيان
Trikou ,تريكو
Trini ,تريني
wiskiyya ,ويسكيا
Xciri ,كسيري
zina ,زينة

